Connector,Pin,FPGA Pin,Description,Length (mm),Power,Ground,I/O Power,FPGA I/O,I/O Bank,JTAG,FPGA Clock In,BRK7010,Design Net,XDC IOStandard,Comment
MC1,1,"",+VDCIN,"",+VDCIN,"","","","","","",J1-1,"","",""
MC1,2,"",DGND,"","",true,"","","","","",J1-2,"","",""
MC1,3,"",+VDCIN,"",+VDCIN,"","","","","","",J1-3,"","",""
MC1,4,"",+1.0VDD,"",+1.0VDD,"","","","","","",J1-4,"","",""
MC1,5,"",+VDCIN,"",+VDCIN,"","","","","","",J1-5,"","",""
MC1,6,"",+1.0VDD,"",+1.0VDD,"","","","","","",J1-6,"","",""
MC1,7,"",+1.8VDD,"",+1.8VDD,"","","","","","",J1-7,"","",""
MC1,8,AB11,SYS_CLK_MC1,21.574,"","","",TRUE,13,"","",J1-8,"",LVCMOS33,""
MC1,9,"",+3.3VDD,"",+3.3VDD,"","","","","","",J1-9,"","",""
MC1,10,M9,XADC_VN,"","","","","","","","",J1-10,"","",""
MC1,11,"",+3.3VDD,"",+3.3VDD,"","","","","","",J1-11,"","",""
MC1,12,L10,XADC_VP,"","","","","","","","",J1-12,"","",""
MC1,13,"",+3.3VDD,"",+3.3VDD,"","","","","","",J1-13,"","",""
MC1,14,"",DGND,"","",true,"","","","","",J1-14,"","",""
MC1,15,W9,B34_L24P,27.853,"","","",TRUE,34,"","",J1-15,"",LVCMOS33,""
MC1,16,V9,B34_L21P,23.937,"","","",TRUE,34,"","",J1-16,"",LVCMOS33,""
MC1,17,Y9,B34_L24N,26.696,"","","",TRUE,34,"","",J1-17,"",LVCMOS33,""
MC1,18,V8,B34_L21N,23.765,"","","",TRUE,34,"","",J1-18,"",LVCMOS33,""
MC1,19,R6,B34_L17P,31.982,"","","",TRUE,34,"","",J1-19,"",LVCMOS33,""
MC1,20,V7,B34_L19P,22.076,"","","",TRUE,34,"","",J1-20,"",LVCMOS33,""
MC1,21,T6,B34_L17N,30.716,"","","",TRUE,34,"","",J1-21,"",LVCMOS33,""
MC1,22,W7,B34_L19N,20.746,"","","",TRUE,34,"","",J1-22,"",LVCMOS33,""
MC1,23,U6,B34_L16P,27.433,"","","",TRUE,34,"","",J1-23,"",LVCMOS33,""
MC1,24,Y8,B34_L23P,18.093,"","","",TRUE,34,"","",J1-24,"",LVCMOS33,""
MC1,25,V5,B34_L16N,26.926,"","","",TRUE,34,"","",J1-25,"",LVCMOS33,""
MC1,26,Y7,B34_L23N,18.54,"","","",TRUE,34,"","",J1-26,"",LVCMOS33,""
MC1,27,T5,B34_L14P,26.503,"","","",TRUE,34,"",true,J1-27,"",LVCMOS33,""
MC1,28,W6,B34_L15P,19.138,"","","",TRUE,34,"","",J1-28,"",LVCMOS33,""
MC1,29,U5,B34_L14N,25.608,"","","",TRUE,34,"",true,J1-29,"",LVCMOS33,""
MC1,30,W5,B34_L15N,19.577,"","","",TRUE,34,"","",J1-30,"",LVCMOS33,""
MC1,31,AA5,B34_L10P,21.028,"","","",TRUE,34,"","",J1-31,"",LVCMOS33,""
MC1,32,R4,B34_L13P,27.920,"","","",TRUE,34,"",true,J1-32,"",LVCMOS33,""
MC1,33,AB5,B34_L10N,20.134,"","","",TRUE,34,"","",J1-33,"",LVCMOS33,""
MC1,34,T4,B34_L13N,25.206,"","","",TRUE,34,"",true,J1-34,"",LVCMOS33,""
MC1,35,"",DGND,"","",true,"","","","","",J1-35,"","",""
MC1,36,"",VCCO_MC1,"","","",VCCO_MC1,"","","","",J1-36,"","",""
MC1,37,AB7,B34_L20P,16.234,"","","",TRUE,34,"","",J1-37,"",LVCMOS33,""
MC1,38,Y4,B34_L11P,20.129,"","","",TRUE,34,"",true,J1-38,"",LVCMOS33,""
MC1,39,AB6,B34_L20N,16.714,"","","",TRUE,34,"","",J1-39,"",LVCMOS33,""
MC1,40,AA4,B34_L11N,19.557,"","","",TRUE,34,"",true,J1-40,"",LVCMOS33,""
MC1,41,R3,B34_L3P,26.716,"","","",TRUE,34,"","",J2-1,"",LVCMOS33,""
MC1,42,Y6,B34_L18P,12.947,"","","",TRUE,34,"","",J2-2,"",LVCMOS33,""
MC1,43,R2,B34_L3N,26.199,"","","",TRUE,34,"","",J2-3,"",LVCMOS33,""
MC1,44,AA6,B34_L18N,11.630,"","","",TRUE,34,"","",J2-4,"",LVCMOS33,""
MC1,45,Y3,B34_L9P,20.655,"","","",TRUE,34,"","",J2-5,"",LVCMOS33,""
MC1,46,AA8,B34_L22P,9.743,"","","",TRUE,34,"","",J2-6,"",LVCMOS33,""
MC1,47,AA3,B34_L9N,19.450,"","","",TRUE,34,"","",J2-7,"",LVCMOS33,""
MC1,48,AB8,B34_L22N,8.497,"","","",TRUE,34,"","",J2-8,"",LVCMOS33,""
MC1,49,U2,B34_L2P,22.529,"","","",TRUE,34,"","",J2-9,"",LVCMOS33,""
MC1,50,U3,B34_L6P,16.995,"","","",TRUE,34,"","",J2-10,"",LVCMOS33,""
