Qty,Value,Device,Package,DIGI-KEY_PART_NUMBER,Cost ($) ,Qty,Total Cost,MANUFACTURER_PART_NUMBER,Parts,Description
1,,PINHD-1X02_2.54-SMD,1X02SMD,,,,,,JP6,PIN HEADER
5,,PINHD-1X04_2.54-SMD,1X04SMD,,,,,,"JP1, JP2, JP3, JP4, JP5",PIN HEADER
1,,PINHD-2X05_2.54-SMD,2X05SMD,,,,,,JP8,PIN HEADER
1,,PINHD-2X06_2.54-SMD,2X06SMD,,,,,,JP7,PIN HEADER
24,0,R-US_R0603,R0603,,,,,,"R4, R5, R7, R16, R17, R24, R47, R48, R60, R61, R65, R70, R71, R76, R77, R102, R103, R107, R112, R113, R117, R122, R123, R127","RESISTOR, American symbol"
76,0.1u,C-USC0603,C0603,,,,,,"C7, C9, C10, C11, C12, C14, C15, C16, C17, C18, C22, C23, C24, C26, C27, C29, C33, C38, C39, C40, C41, C42, C43, C44, C46, C47, C48, C49, C50, C52, C53, C54, C57, C58, C59, C60, C61, C64, C65, C67, C68, C71, C72, C73, C74, C75, C78, C79, C81, C82, C85, C86, C87, C88, C89, C92, C93, C95, C96, C98, C100, C101, C103, C104, C106, C108, C109, C111, C112, C114, C116, C117, C119, C120, C121, C122","CAPACITOR, American symbol"
1,0.33u,C-USC0603,C0603,,,,,,C32,"CAPACITOR, American symbol"
1,0532611471_PICOBLADE,0532611471_PICOBLADE,MOLEX_0532611471,,,,,,U$1,
1,10.2k,R-US_R0603,R0603,,,,,,R26,"RESISTOR, American symbol"
1,10.5k,R-US_R0603,R0603,,,,,,R28,"RESISTOR, American symbol"
8,100,R-US_R0603,R0603,,,,,,"R12, R13, R57, R58, R82, R83, R94, R95","RESISTOR, American symbol"
3,100k,R-US_R0603,R0603,,,,,,"R35, R36, R50","RESISTOR, American symbol"
4,100p,C-USC0603,C0603,,,,,,"C4, C55, C69, C83","CAPACITOR, American symbol"
7,10k,R-US_R0603,R0603,,,,,,"R1, R38, R40, R52, R104, R114, R124","RESISTOR, American symbol"
10,10u,C-USC0603,C0603,,,,,,"C5, C13, C31, C45, C56, C66, C70, C80, C84, C94","CAPACITOR, American symbol"
1,1365-10,1365-10,1365-10,,,,,,X9,DUAL ROW STRAIGHT HEADER 1364 SERIES. 1.27mm x 1.27mm. Without Fixing Post. SMT
19,1k,R-US_R0603,R0603,,,,,,"R6, R14, R22, R42, R44, R46, R67, R69, R73, R75, R108, R109, R111, R118, R119, R121, R128, R129, R131","RESISTOR, American symbol"
8,1u,C-USC0603,C0603,,,,,,"C1, C21, C25, C34, C35, C36, C37, C51","CAPACITOR, American symbol"
1,2-406541-3,2-406541-3,CONN8_406541_TEC,,,,,2-406541-3,J3,
1,2.26k,R-US_R0603,R0603,,,,,,R27,"RESISTOR, American symbol"
1,2.2u,C-USC0603,C0603,,,,,,C2,"CAPACITOR, American symbol"
1,2.61k,R-US_R0603,R0603,,,,,,R30,"RESISTOR, American symbol"
1,2.67k,R-US_R0603,R0603,,,,,,R32,"RESISTOR, American symbol"
14,20k,R-US_R0603,R0603,,,,,,"R2, R3, R43, R45, R66, R68, R72, R74, R105, R106, R115, R116, R125, R126","RESISTOR, American symbol"
1,20m,R-US_R0603,R0603,,,,,,R133,"RESISTOR, American symbol"
1,21.5k,R-US_R0603,R0603,,,,,,R25,"RESISTOR, American symbol"
3,240,R-US_R0603,R0603,,,,,,"R29, R31, R41","RESISTOR, American symbol"
4,2k,R-US_R0603,R0603,,,,,,"R21, R110, R120, R130","RESISTOR, American symbol"
4,2p,C-USC0603,C0603,,,,,,"C3, C102, C110, C118","CAPACITOR, American symbol"
24,33,R-US_R0603,R0603,,,,,,"R19, R20, R63, R64, R88, R89, R100, R101, R134, R135, R136, R137, R139, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, R150","RESISTOR, American symbol"
4,4.7k,R-US_R0603,R0603,,,,,,"R33, R34, R153, R154","RESISTOR, American symbol"
2,4.7u,C-USC0603,C0603,,,,,,"C28, C30","CAPACITOR, American symbol"
16,499,R-US_R0603,R0603,,,,,,"R8, R9, R10, R11, R53, R54, R55, R56, R78, R79, R80, R81, R90, R91, R92, R93","RESISTOR, American symbol"
1,50m,R-US_R0603,R0603,,,,,,R132,"RESISTOR, American symbol"
3,AD5453,AD5453YRMZ-REEL7,RM_8,,,,,AD5453YRMZ-REEL7,"U2, U30, U32",
1,AD5453YRMZ-REEL7,AD5453YRMZ-REEL7,RM_8,,,,,AD5453YRMZ-REEL7,U29,
4,AD7960BCPZ-RL7,AD7960BCPZ-RL7,CP_32_7,,,,,AD7960BCPZRL7,"U1, U22, U26, U28",
1,AD8244BRMZ,AD8244BRMZ,RM_10_ADI,,,,,AD8244BRMZ,U36,
4,ADA4610-2,ADA4692-2R,SO8,,,,,,"IC2, IC3, IC5, IC7","Low Power, 3.6 MHz, Low Noise, Rail-to-Rail Output, Operational Amplifiers"
4,ADA4932-1YCPZ-R7,ADA4932-1YCPZ-R7,CP_16_2,,,,,ADA49321YCPZR7,"U3, U21, U25, U27",
1,ADP150AUJZ-3.3-R7,ADP150AUJZ-3.3-R7,UJ_5_ADI,,,,,ADP150AUJZ-3.3-R7,U9,
1,ADP2300AUJZ-R7,ADP2300AUJZ-R7,UJ_6_ADI,,,,,ADP2300AUJZ-R7,U12,
1,ADR395AUJZ-REEL7,ADR395AUJZ-REEL7,UJ_5_ADI,,,,,ADR395AUJZ-REEL7,U16,
1,ADS7952SRHBT,ADS7952SRHBT,RHB32_2P7X2P7_TEX,,,,,ADS7952SRHBT,U6,
3,BC857BS-13-F,HN1A01FU-YLFCT,SOT-363___(US6)_TOS,,,,,,"U23, U24, U31",
8,BU-SMA-G,BU-SMA-G,BU-SMA-G,,,,,,"X1, X2, X3, X4, X5, X6, X7, X8",FEMALE SMA CONNECTOR
1,CD40106BM96,CD40106BM96,D14_TEX,,,,,CD40106BM96,U20,
4,DNI,R-US_R0603,R0603,,,,,,"R85, R86, R97, R98","RESISTOR, American symbol"
